crop_type,temperature,humidity,rainfall,soil_moisture,soil_ph,nitrogen,phosphorus,potassium,sunlight_hours,pest_activity,leaf_discoloration,growth_rate,previous_disease_history,disease_risk
Sugarcane,23.23,61.79,145.08,53.42,7.16,95.6,61.46,44.27,6.35,0,0,0.864,0,Low Risk
Barley,34.96,89.73,106.54,45.44,7.0,37.72,0.0,34.54,4.92,1,1,0.634,1,High Risk
Soybean,26.55,50.14,165.88,48.02,5.59,32.6,61.1,58.53,8.01,0,0,0.513,0,Low Risk
Tomato,24.45,65.49,135.69,57.73,6.49,65.29,46.24,83.92,8.19,0,0,0.79,0,Low Risk
Sugarcane,23.32,58.62,187.79,49.05,6.93,29.84,41.13,72.04,6.21,0,1,0.71,0,Low Risk
Sunflower,36.17,85.79,73.6,35.41,5.62,23.81,0.0,55.02,5.54,0,1,0.291,1,High Risk
Potato,20.11,54.62,172.79,56.76,4.96,89.03,52.28,54.69,9.29,0,0,0.972,0,Low Risk
Barley,31.78,79.35,84.38,38.73,6.27,17.52,46.36,43.25,6.38,1,1,0.672,1,Medium Risk
Wheat,33.41,78.29,72.12,34.08,5.88,17.02,24.78,8.58,6.77,0,0,0.546,1,High Risk
Rice,27.26,66.46,146.17,60.84,7.54,35.56,30.32,42.22,5.03,1,0,0.737,1,Medium Risk
Tomato,28.29,64.49,57.09,60.38,7.81,28.85,50.46,44.38,6.04,0,1,0.664,1,Medium Risk
Maize,26.15,63.31,107.38,71.93,5.99,60.03,53.25,64.23,6.39,0,0,0.803,0,Low Risk
Sunflower,25.69,85.68,56.6,48.48,7.03,72.82,38.26,48.84,6.29,1,0,0.823,0,Medium Risk
Wheat,25.97,51.75,202.36,44.89,7.29,79.92,43.17,47.06,4.88,0,0,0.74,0,Low Risk
Wheat,26.59,48.88,174.23,51.51,7.12,43.33,49.93,52.06,7.93,0,0,0.701,1,Low Risk
Sugarcane,35.4,75.2,11.48,40.09,5.6,25.61,38.91,44.41,5.13,0,1,0.52,0,High Risk
Maize,20.61,72.2,119.71,66.48,6.87,40.62,45.69,60.79,8.2,0,0,0.85,0,Low Risk
Barley,32.73,59.15,139.82,50.82,6.44,49.33,54.17,83.3,7.18,1,1,0.577,0,Medium Risk
Wheat,35.98,82.26,141.19,54.27,5.98,30.64,11.04,10.52,4.5,1,1,0.588,1,High Risk
Maize,23.35,65.73,116.22,50.88,6.41,31.69,25.18,25.71,7.83,1,0,0.638,0,Medium Risk
Cotton,35.68,86.9,96.77,15.46,5.63,43.73,9.3,44.88,7.36,1,0,0.551,1,High Risk
Sugarcane,31.17,68.47,155.23,49.28,7.24,51.03,42.77,34.69,7.85,0,0,0.852,0,Medium Risk
Maize,34.6,72.5,85.32,50.25,6.4,54.66,30.5,43.28,7.23,1,0,0.693,0,Medium Risk
Sugarcane,35.79,93.88,80.12,62.97,6.65,66.93,25.19,39.9,5.74,1,1,0.458,1,High Risk
Soybean,34.88,66.59,191.55,63.31,7.13,56.86,42.76,24.13,4.69,0,0,0.715,0,Medium Risk
Tomato,27.26,70.75,59.58,55.34,7.6,46.41,14.05,44.22,5.93,0,0,0.555,0,Medium Risk
Maize,34.17,59.89,140.47,61.56,6.73,92.0,35.38,76.72,5.86,0,0,0.772,0,Low Risk
Maize,38.86,89.56,41.46,43.34,7.2,42.5,33.0,37.44,6.17,0,0,0.417,1,High Risk
Cotton,41.18,95.54,44.98,55.72,6.4,15.98,19.94,30.65,2.17,1,1,0.524,1,High Risk
Wheat,36.58,94.16,93.68,47.34,6.02,37.13,19.65,23.75,4.92,1,1,0.283,1,High Risk
Sunflower,39.19,77.31,70.09,28.2,5.8,25.17,32.78,31.37,7.03,1,1,0.585,0,High Risk
Tomato,24.01,49.75,112.0,54.47,5.96,79.8,37.15,78.66,9.13,1,0,0.822,0,Low Risk
Barley,27.13,52.48,126.1,74.22,7.72,84.68,51.02,48.68,6.75,0,0,0.872,0,Low Risk
Maize,36.74,90.99,108.85,39.35,5.56,18.63,23.95,19.12,8.09,0,1,0.436,1,High Risk
Wheat,37.54,76.71,104.74,48.44,7.77,30.98,33.79,37.44,4.43,0,0,0.283,1,High Risk
Cotton,36.11,74.08,66.31,43.38,6.16,25.6,30.23,27.12,5.85,0,0,0.439,0,High Risk
Maize,38.56,72.49,50.39,35.44,6.71,33.21,39.02,32.56,7.41,1,1,0.548,0,High Risk
Soybean,35.05,86.97,93.05,33.89,6.43,21.24,15.01,15.65,3.29,1,1,0.456,1,High Risk
Wheat,31.41,80.6,175.23,47.83,7.19,52.71,40.52,56.42,9.65,0,0,0.707,0,Medium Risk
Sugarcane,23.57,58.79,110.63,62.92,4.55,51.78,26.57,52.44,8.53,1,0,0.755,1,Medium Risk
Sugarcane,36.67,82.82,122.78,31.95,6.3,30.26,18.4,41.75,7.36,0,1,0.309,1,High Risk
Barley,29.99,58.27,165.53,64.18,6.7,46.41,25.32,60.0,8.23,0,1,0.569,1,Medium Risk
Rice,34.19,75.55,164.59,46.28,7.17,79.43,29.35,40.24,6.38,1,1,0.866,0,Medium Risk
Sugarcane,26.91,60.52,203.62,62.51,6.86,78.23,38.36,58.22,4.31,0,0,0.858,0,Low Risk
Sunflower,32.29,73.04,53.25,50.31,6.15,44.42,6.7,34.02,4.37,0,1,0.472,1,High Risk
Potato,39.71,87.12,93.89,50.09,6.65,5.29,35.1,33.92,5.31,1,1,0.297,1,High Risk
Potato,34.92,87.82,63.49,48.97,5.83,25.01,26.43,32.68,6.61,1,1,0.331,1,High Risk
Tomato,31.67,68.79,67.72,40.14,7.06,37.11,43.1,63.23,5.05,1,1,0.781,0,Medium Risk
Potato,24.51,42.51,227.8,58.47,5.87,57.74,44.2,52.02,4.86,1,0,0.946,0,Low Risk
Sugarcane,28.44,79.89,147.35,54.92,6.17,60.01,51.07,20.92,7.34,0,0,0.68,1,Medium Risk
Maize,36.79,68.59,78.69,49.93,6.2,50.41,34.26,14.86,7.14,1,0,0.872,0,Medium Risk
Tomato,38.29,75.4,123.14,50.09,6.8,16.51,17.97,26.37,3.93,1,1,0.486,1,High Risk
Rice,22.79,51.83,203.26,67.62,7.4,71.75,53.8,86.61,6.75,0,0,0.81,0,Low Risk
Barley,29.59,50.5,34.0,47.51,6.68,54.41,30.73,37.2,6.25,0,1,0.699,1,Medium Risk
Rice,25.48,65.56,108.02,50.46,6.4,35.96,42.06,44.38,6.93,1,0,0.542,1,Medium Risk
Tomato,23.69,63.87,195.21,57.55,7.16,61.57,48.2,57.5,10.37,0,0,0.692,1,Low Risk
Sugarcane,11.0,76.12,158.58,50.75,6.82,72.84,57.45,76.93,7.57,0,0,0.732,0,Low Risk
Wheat,20.39,65.61,192.61,53.66,7.7,65.69,51.02,58.81,8.79,0,0,0.847,0,Low Risk
Sugarcane,40.48,78.41,118.02,26.32,6.71,44.01,18.51,29.88,6.25,1,1,0.535,1,High Risk
Sunflower,26.52,38.71,205.27,64.76,8.81,101.21,49.87,85.0,9.27,0,0,0.843,1,Low Risk
Maize,24.63,63.02,160.53,59.56,7.29,73.85,50.37,61.09,6.18,1,0,0.711,0,Low Risk
Potato,37.02,51.99,91.9,40.77,6.81,55.43,18.09,33.36,8.73,0,0,0.746,1,Medium Risk
Rice,31.37,76.12,98.26,43.32,6.66,50.03,50.04,8.2,5.62,0,0,0.706,1,Medium Risk
Sugarcane,36.0,82.95,96.52,37.77,6.72,35.43,27.92,22.06,7.51,0,0,0.552,1,High Risk
Rice,31.85,69.17,156.26,42.5,5.45,52.53,42.56,46.31,7.03,1,1,0.543,0,Medium Risk
Tomato,26.84,73.13,146.84,57.09,5.47,58.27,36.57,36.86,6.67,0,1,0.817,0,Medium Risk
Soybean,25.29,75.07,64.12,52.19,7.41,64.62,44.09,43.86,4.75,1,1,0.606,0,Medium Risk
Cotton,21.28,36.22,174.18,43.72,5.94,76.49,43.99,62.2,6.18,0,0,0.785,0,Low Risk
Barley,26.71,61.04,159.03,45.95,6.84,27.49,53.61,48.3,4.97,0,0,0.598,0,Medium Risk
Wheat,35.26,88.61,14.84,22.52,7.28,0.0,16.75,39.48,5.83,1,1,0.136,1,High Risk
Wheat,33.44,72.34,56.42,45.18,6.53,30.74,26.18,31.08,5.9,1,1,0.514,0,High Risk
Potato,27.66,62.49,174.39,76.59,5.39,92.2,45.04,70.99,6.46,0,0,0.729,0,Low Risk
Soybean,32.12,86.56,67.07,52.36,7.72,45.34,36.33,51.46,8.01,1,0,0.755,1,Medium Risk
Sugarcane,39.43,73.04,62.42,25.18,7.05,48.38,19.14,27.28,4.29,1,0,0.349,1,High Risk
Cotton,23.33,64.43,138.92,42.08,8.14,46.47,53.96,43.31,7.47,1,1,0.65,1,Medium Risk
Soybean,30.27,68.56,184.32,44.64,4.96,46.67,53.64,53.55,8.63,1,1,0.695,1,Medium Risk
Maize,24.29,62.8,153.01,72.27,5.98,73.38,43.67,65.06,8.76,0,1,0.878,0,Low Risk
Sugarcane,24.95,75.05,158.65,44.53,7.34,50.06,55.06,64.88,6.96,1,0,0.692,1,Medium Risk
Cotton,34.64,100.0,40.01,38.79,6.16,23.49,27.85,40.77,6.04,1,0,0.498,1,High Risk
Barley,32.32,80.82,23.75,38.01,6.83,34.19,31.36,19.64,5.18,1,1,0.307,1,High Risk
Cotton,33.26,78.88,0.0,50.06,6.69,27.35,5.0,45.53,4.84,1,1,0.477,1,High Risk
Rice,24.05,51.92,167.74,61.01,5.94,106.91,58.89,61.78,7.23,0,0,0.915,0,Low Risk
Rice,29.27,51.29,57.28,47.83,7.55,60.98,43.21,36.66,5.58,0,1,0.712,0,Medium Risk
Sunflower,32.17,68.52,93.12,51.74,5.95,61.74,37.49,51.52,9.51,0,0,1.0,0,Low Risk
Barley,33.74,66.94,108.68,38.96,7.76,22.01,24.91,38.91,6.07,0,0,0.413,1,High Risk
Tomato,33.7,95.82,67.4,41.75,6.78,32.02,27.15,33.94,4.76,1,1,0.391,1,High Risk
Wheat,36.64,74.02,10.62,24.83,6.83,6.58,24.91,25.73,4.57,1,1,0.487,1,High Risk
Barley,23.19,82.4,147.04,62.05,6.75,54.42,35.47,63.2,7.04,0,1,0.454,0,Medium Risk
Cotton,26.4,51.91,126.28,57.13,5.92,56.13,71.42,71.2,10.25,0,0,0.932,0,Low Risk
Barley,25.26,48.24,84.74,72.3,6.62,62.19,38.44,62.44,8.77,0,0,0.853,0,Low Risk
Sunflower,29.07,73.57,69.13,40.94,6.26,35.06,72.95,62.43,6.54,0,1,0.663,1,Medium Risk
Sunflower,36.28,74.23,32.99,26.18,5.61,18.89,6.46,34.72,4.35,1,0,0.494,1,High Risk
Tomato,36.0,87.89,158.45,16.39,5.58,34.39,20.52,0.0,4.83,1,1,0.329,1,High Risk
Rice,34.44,85.91,115.5,45.42,7.76,60.77,21.52,13.86,5.07,1,1,0.432,1,High Risk
Sunflower,28.25,69.14,158.73,69.68,6.0,81.94,57.85,64.06,9.97,0,1,0.766,0,Low Risk
Sugarcane,33.61,79.35,112.29,75.36,8.48,56.72,37.26,40.28,6.77,0,0,0.8,0,Medium Risk
Soybean,43.32,72.74,78.3,48.29,5.92,5.41,34.87,43.33,6.77,0,0,0.506,0,High Risk
Maize,30.52,81.09,205.22,37.38,5.71,42.13,39.97,35.92,8.34,1,1,0.622,0,Medium Risk
Tomato,26.68,77.91,26.71,52.78,5.3,21.72,42.93,28.05,8.05,1,1,0.746,0,Medium Risk
Sugarcane,25.43,62.24,94.62,48.89,4.72,51.58,16.07,47.35,7.41,0,1,0.748,1,Medium Risk
Barley,34.01,100.0,145.66,35.34,5.68,57.9,16.45,39.08,6.4,1,1,0.388,1,High Risk
Rice,38.85,85.48,76.31,20.85,5.38,10.74,25.13,22.74,4.93,1,0,0.39,0,High Risk
Tomato,18.07,59.51,207.15,54.39,5.76,77.42,51.6,55.42,8.0,0,0,0.653,1,Low Risk
Barley,24.83,63.28,117.8,60.58,7.54,49.81,24.49,44.28,6.76,0,0,0.782,0,Medium Risk
Cotton,25.06,57.41,142.52,68.32,6.34,73.47,63.76,71.07,9.18,1,0,0.705,0,Low Risk
Sunflower,32.9,94.87,43.77,26.76,6.0,15.11,37.93,32.82,3.3,0,1,0.314,1,High Risk
Sunflower,25.11,65.63,98.84,50.49,6.43,30.05,18.62,26.55,7.75,0,0,0.745,1,Medium Risk
Barley,33.75,76.46,137.29,37.87,5.65,66.44,25.53,25.35,4.5,0,1,0.449,1,High Risk
Cotton,36.59,79.99,71.85,42.97,5.08,47.27,36.68,55.91,9.65,1,0,0.524,0,Medium Risk
Sugarcane,31.36,75.4,137.57,40.5,6.3,26.23,29.04,23.26,5.94,0,1,0.442,1,High Risk
Potato,28.23,37.41,102.67,39.61,6.31,80.76,68.03,61.04,10.44,0,0,0.682,1,Low Risk
Maize,30.06,87.38,32.5,51.67,6.34,28.93,38.73,53.54,5.33,0,0,0.473,1,High Risk
Potato,23.13,52.66,224.2,63.78,6.84,78.09,57.35,58.84,7.52,0,0,0.837,0,Low Risk
Wheat,25.95,63.41,112.9,64.48,6.51,59.75,47.63,51.28,8.23,0,1,0.8,0,Low Risk
Maize,29.94,45.65,188.13,53.09,5.96,80.03,56.46,43.97,10.16,1,0,0.799,0,Low Risk
Wheat,35.67,87.45,130.5,37.41,6.26,31.96,25.26,36.05,6.29,0,0,0.402,1,High Risk
Soybean,31.4,81.1,180.9,53.8,6.28,42.89,42.07,17.8,5.79,0,0,0.574,1,Medium Risk
Rice,19.51,70.77,46.4,53.25,6.2,72.36,35.12,78.97,5.25,0,0,0.638,1,Low Risk
Maize,34.62,65.13,106.3,55.09,6.24,60.7,32.43,48.86,10.96,0,0,0.698,0,Medium Risk
Sunflower,34.33,59.89,79.6,57.34,5.5,59.91,32.12,50.74,5.17,1,1,0.769,0,Medium Risk
Sugarcane,36.05,67.25,107.15,52.08,5.43,65.51,33.5,44.38,7.64,0,0,0.573,0,Medium Risk
Rice,31.56,61.82,157.52,66.72,6.88,83.87,31.16,64.42,8.69,0,0,0.813,0,Low Risk
Potato,29.4,64.66,47.73,61.01,7.12,50.43,22.05,28.0,6.18,1,1,0.747,0,Medium Risk
Sugarcane,18.64,49.51,131.33,68.45,6.27,63.28,52.64,62.53,7.11,0,1,0.859,1,Low Risk
Soybean,32.92,95.28,98.1,54.33,5.26,34.67,32.33,5.94,9.12,0,1,0.356,0,High Risk
Sunflower,26.94,52.86,201.72,50.55,6.41,56.22,69.54,60.29,6.49,0,0,0.73,0,Low Risk
Sugarcane,34.18,75.29,28.29,39.59,6.63,0.0,26.51,40.28,4.05,1,1,0.286,1,High Risk
Soybean,28.54,43.94,117.02,53.91,6.13,54.15,64.68,56.38,8.53,0,0,0.763,0,Low Risk
Maize,27.73,76.5,112.6,44.24,6.85,63.26,23.82,23.58,6.88,0,0,0.61,1,Medium Risk
Wheat,30.56,60.49,117.09,55.41,6.12,59.64,34.95,33.57,8.98,0,1,0.602,0,Medium Risk
Soybean,21.0,60.14,77.47,66.37,6.7,66.19,30.38,38.23,7.4,0,0,0.708,0,Low Risk
Tomato,29.82,61.78,102.59,34.56,6.79,50.93,39.86,58.54,4.89,0,0,0.541,0,Medium Risk
Maize,39.95,79.1,67.3,35.94,7.22,32.58,13.98,11.65,4.72,0,1,0.541,1,High Risk
Sunflower,23.61,71.13,122.03,60.6,7.49,74.06,30.72,67.08,6.26,0,0,0.961,0,Low Risk
Potato,22.12,66.21,214.0,75.28,7.03,66.21,11.1,64.16,8.0,0,0,0.834,0,Low Risk
